"id","sku","tipo","","post_title","post_description","post_excerpt","image","post_name","post_status","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","price","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_cat","tax:product_tag","tax:product_brand","atributo color","attribute:Color","attribute_data:Color","attribute:Color","atributo talla","attribute:Size","attribute_data:Size","attribute_global:Zise","atributo silueta","atributo silueta","attribute_data:Silueta","attribute_global:silueta","","","","","","","","","","",""
"015726","013911","variable","","SPIRITUAL BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO ","","SPIRITUAL-BOXER","publish","no ","no ","visible","","instock","no ","no ","30,200","","","","","","taxable ","","Boxer > Luxury","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Color","Negro","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Medio ","1","1","","","","","","","","","","",""
"015727","014807","variable","","WISDOM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas.","BOXER ALGODÓN CORTO ","","WISDOM-BOXER","publish","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","Boxer > Casual","Boxer  Corto","Cotton 94% > Elastane 6% | Algodón","Color","Azul Claro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto","1","1","","","","","","","","","","",""
"015728","014810","variable","","WISDOM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER ALGODÓN CORTO ","","WISDOM-BOXER","publish","no ","no ","visible","","instock","no ","no ","28,601","","","","","","taxable ","","Boxer > Casual","Boxer  Corto","Cotton 94% > Elastane 6% | Algodón","Color","Verde Militar ","1","1","Talla","S, M, L, XL","1","1","Silueta","Boxer, Corto","1","1","","","","","","","","","","",""
"015729","014401","variable","","DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-BRIEF","publish","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","Brief > Luxury","Brief  Slim ","Nylon 94% > Elastane 6% | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Slim ","1","1","","","","","","","","","","",""
"015730","014408","variable","","DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-BRIEF","publish","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","Brief > Luxury","Brief  Slim ","Nylon 94% > Elastane 6% | Microfibra","Color","Azul Oscuro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Slim ","1","1","","","","","","","","","","",""
"015731","014411","variable","","DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-BRIEF","publish","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","Brief > Luxury","Brief  Slim ","Nylon 94% > Elastane 6% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Slim ","1","1","","","","","","","","","","",""
"015732","013606","variable","","MISTIC LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","MISTIC-LATIN-BRIEF","publish","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","Brief > Casual","Brief  Clásico","Polyester 48% > Nylon 47% > Elastane 5% | Microfibra","Color","Coral jaspe","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015733","013610","variable","","MISTIC LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","MISTIC-LATIN-BRIEF","publish","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","Brief > Casual","Brief  Clásico","Polyester 48% > Nylon 47% > Elastane 5% | Microfibra","Color","Verde jaspe","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015734","015611","variable","","FEEL LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","FEEL-LATIN-BRIEF","publish","no ","no ","visible","","instock","no ","no ","30,700","","","","","","taxable ","","Brief > Casual","Brief  Clásico","Polyester 93% > Elastane 7% | Microfibra","Color","Negro ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
"015735","013801","variable","","CALM PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","CALM-PIPING-BRIEF","publish","no ","no ","visible","","instock","no ","no ","35,800","","","","","","taxable ","","Brief > Luxury","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Color","Blanco ","1","1","Talla","S, M, L, XL","1","1","Silueta","Brief, Clásico","1","1","","","","","","","","","","",""
