"post_title","post_description","post_excerpt","image","post_name","post_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","$  28.300","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_type","tax:product_cat","tax:product_tag","tax:product_brand","attribute:Color","attribute_data:Color","attribute:Size","attribute_data:Size"," ","","","","","","","","","","","","","",""
"SPIRITUAL BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER MICROFIBRA MEDIO /MEDIUM MICROFIBER BOXER","","SPIRITUAL-BOXER","publish","013911","no ","no ","visible","","instock","no ","no ","30,200","","","","","","taxable ","","normal","Boxer > Luxury > Negro | Medio / BOXER > LUXURY > BLACK | MEDIUM","Boxer | Medio / BOXER | MEDIUM","Nylon 78% > Elastane 22% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER ALGODÓN CORTO /SHORT COTTON BOXER","","WISDOM-BOXER","publish","014807","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","normal","Boxer > Casual > Azul | Corto / BOXER > CASUAL > AZUL | SHORT","Boxer | Corto / BOXER SHORT","Cotton 94% > Elastane 6% | Algodón","Azul Claro / LIGHT BLUE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. / Styled and shaped for the best comfort, it provides freedom of movement, with the perfect design and fit for everyday activities and sports.","BOXER ALGODÓN CORTO /SHORT COTTON BOXER","","WISDOM-BOXER","publish","014810","no ","no ","visible","","instock","no ","no ","28,601","","","","","","taxable ","","normal","Boxer > Casual > Verde | Corto / BOXER > CASUAL > GREEN | SHORT","Boxer | Corto / BOXER SHORT","Cotton 94% > Elastane 6% | Algodón","Verde Militar / MILITARY GREEN","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","DEEP-BRIEF","publish","014401","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","normal","Brief > Luxury > Blanco | Slim / BRIEF > LUXURY > WHITER | SLIM","Brief | Slim / BRIEF|SLIM","Nylon 94% > Elastane 6% | Microfibra","Blanco / WHITE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","DEEP-BRIEF","publish","014408","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","normal","Brief > Luxury > Blanco | Slim / BRIEF > LUXURY > WHITER | SLIM","Brief | Slim / BRIEF |SLIM","Nylon 94% > Elastane 6% | Microfibra","Azul Oscuro / DARK BLUE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","DEEP-BRIEF","publish","014411","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","normal","Brief > Luxury > Blanco | Slim / BRIEF > LUXURY > WHITER | SLIM","Brief | Slim / BRIEF |SLIM","Nylon 94% > Elastane 6% | Microfibra","Negro / BLACK ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"MISTIC LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","MISTIC-LATIN-BRIEF","publish","013606","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","normal","Brief > Casual > Coral | Clásico / BRIEF > CASUAL > CORAL | CLASSIC","Brief | Clásico / BRIEF | CLASSIC","Polyester 48% > Nylon 47% > Elastane 5% | Microfibra","Coral jaspe / CORAL JASPE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"MISTIC LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","MISTIC-LATIN-BRIEF","publish","013610","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","normal","Brief > Casual > Verde | Clásico / BRIEF > CASUAL > GREEN | CLASSIC","Brief | Clásico / BRIEF | CLASSIC","Polyester 48% > Nylon 47% > Elastane 5% | Microfibra","Verde jaspe / GREEN JASPE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FEEL LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","FEEL-LATIN-BRIEF","publish","015611","no ","no ","visible","","instock","no ","no ","30,700","","","","","","taxable ","","normal","Brief > Casual | Estampados / BRIEF > CASUAL | PRINT","Brief | Clásico / BRIEF | CLASSIC","Polyester 93% > Elastane 7% | Microfibra","Negro / BLACK","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"CALM PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. / · It allows the genital area to have a natural and anatomical fall, creating a really pleasant and sensual wearing experience.","BRIEF MICROFIBRA / MICROFIBER BRIEF","","CALM-PIPING-BRIEF","publish","013801","no ","no ","visible","","instock","no ","no ","35,800","","","","","","taxable ","","normal","Brief > Luxury > Blanco | Clásico / BRIEF > LUXURY > BLANCO | ","Brief | Clásico / BRIEF | CLASSIC","Nylon 78% > Elastane 22% | Microfibra","Blanco / WHITE","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
