"post_title","post_description","post_excerpt","image","post_name","post_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","price","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_type","tax:product_cat","tax:product_tag","tax:product_brand","attribute:Color","attribute_data:Color","attribute:Size","attribute_data:Size"," ","","","","","","","","","","","","","",""
"SPIRITUAL BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER MICROFIBRA MEDIO ","","SPIRITUAL-BOXER","publish","013911","no ","no ","visible","","instock","no ","no ","30,200","","","","","","taxable ","","varieble","Boxer > Luxury > Negro  Medio ","Boxer  Medio ","Nylon 78% > Elastane 22% | Microfibra","Negro","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas.","BOXER ALGODÓN CORTO ","","WISDOM-BOXER","publish","014807","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","varieble","Boxer > Casual > Azul  Corto ","Boxer  Corto","Cotton 94% > Elastane 6% | Algodón","Azul Claro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WISDOM BOXER","Preformado y prehormado para mayor comodidad, brinda libertad al moverse, con diseño y ajuste ideal para actividades cotidianas y deportivas. ","BOXER ALGODÓN CORTO ","","WISDOM-BOXER","publish","014810","no ","no ","visible","","instock","no ","no ","28,601","","","","","","taxable ","","varieble","Boxer > Casual > Verde  Corto ","Boxer  Corto","Cotton 94% > Elastane 6% | Algodón","Verde Militar ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-BRIEF","publish","014401","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","varieble","Brief > Luxury > Blanco  Slim ","Brief  Slim ","Nylon 94% > Elastane 6% | Microfibra","Blanco ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-BRIEF","publish","014408","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","varieble","Brief > Luxury > Blanco  Slim","Brief  Slim ","Nylon 94% > Elastane 6% | Microfibra","Azul Oscuro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-BRIEF","publish","014411","no ","no ","visible","","instock","no ","no ","27,100","","","","","","taxable ","","varieble","Brief > Luxury > Blanco  Slim ","Brief  Slim ","Nylon 94% > Elastane 6% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"MISTIC LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","MISTIC-LATIN-BRIEF","publish","013606","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","varieble","Brief > Casual > Coral  Clásico ","Brief  Clásico","Polyester 48% > Nylon 47% > Elastane 5% | Microfibra","Coral jaspe","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"MISTIC LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual.","BRIEF MICROFIBRA ","","MISTIC-LATIN-BRIEF","publish","013610","no ","no ","visible","","instock","no ","no ","28,600","","","","","","taxable ","","varieble","Brief > Casual > Verde  Clásico","Brief  Clásico","Polyester 48% > Nylon 47% > Elastane 5% | Microfibra","Verde jaspe","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"FEEL LATIN BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","FEEL-LATIN-BRIEF","publish","015611","no ","no ","visible","","instock","no ","no ","30,700","","","","","","taxable ","","varieble","Brief > Casual  Estampados","Brief  Clásico","Polyester 93% > Elastane 7% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"CALM PIPING BRIEF","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA","","CALM-PIPING-BRIEF","publish","013801","no ","no ","visible","","instock","no ","no ","35,800","","","","","","taxable ","","varieble","Brief > Luxury > Blanco  Clásico ","Brief  Clásico","Nylon 78% > Elastane 22% | Microfibra","Blanco ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
